Traffic source,Source type,Source title,Views,Watch time (hours),Average view duration,Impressions,Impressions click-through rate (%)
YT_SEARCH.squirrels and birds for cats,,squirrels and birds for cats,1335,1391.39,1:02:32,0,
YT_SEARCH.bird for cats,,bird for cats,1335,560.9089,0:25:12,0,
YT_SEARCH.猫遊ぶ映像,,猫遊ぶ映像,1329,1234.7548,0:55:44,0,
YT_SEARCH.katzen videos,,katzen videos,1323,1387.8295,1:02:56,0,
YT_SEARCH.pet tv,,pet tv,1319,2900.5269,2:11:56,0,
YT_SEARCH.bird video for cats to watch,,bird video for cats to watch,1312,325.5975,0:14:53,0,
YT_SEARCH.cat distraction video,,cat distraction video,1311,1518.3182,1:09:29,0,
YT_SEARCH.cat television,,cat television,1310,1817.1032,1:23:13,0,
YT_SEARCH.katzenfernsehen,,katzenfernsehen,1307,1358.5033,1:02:21,0,
YT_SEARCH.video per gatti,,video per gatti,1302,764.4815,0:35:13,0,
YT_SEARCH.cat tv ad free,,cat tv ad free,1296,2655.2315,2:02:55,0,
YT_SEARCH.birds and squirrels for cats to watch,,birds and squirrels for cats to watch,1296,3692.4772,2:50:56,0,
YT_SEARCH.cat tv birds and squirrels,,cat tv birds and squirrels,1286,1225.1343,0:57:09,0,
YT_SEARCH.cat tv 4k,,cat tv 4k,1280,1470.8882,1:08:56,0,
YT_SEARCH.no ad cat tv,,no ad cat tv,1257,2995.1727,2:22:58,0,
YT_SEARCH.dla kota,,dla kota,1245,619.425,0:29:51,0,
YT_SEARCH.貓咪看的影片,,貓咪看的影片,1240,1150.0045,0:55:38,0,
YT_SEARCH.cat birds,,cat birds,1239,649.5946,0:31:27,0,
YT_SEARCH.고양이 놀이 영상,,고양이 놀이 영상,1235,1392.1044,1:07:37,0,
YT_SEARCH.birds videos,,birds videos,1233,563.1784,0:27:24,0,
YT_SEARCH.videos for dogs,,videos for dogs,1228,1295.7004,1:03:18,0,
YT_SEARCH.movie for cats,,movie for cats,1228,1037.6655,0:50:42,0,
YT_SEARCH.cat games squirrel,,cat games squirrel,1225,534.6624,0:26:11,0,
YT_SEARCH.cat tv for cats to watch birds,,cat tv for cats to watch birds,1224,1715.0347,1:24:04,0,
YT_SEARCH.猫 鳥,,猫 鳥,1224,491.8578,0:24:06,0,
YT_SEARCH.猫専用動画,,猫専用動画,1219,1170.0826,0:57:35,0,
YT_SEARCH.juegos para gatos,,juegos para gatos,1214,803.2523,0:39:41,0,
YT_SEARCH.live bird feeder cam,,live bird feeder cam,1213,986.2626,0:48:47,0,
YT_SEARCH.猫動画,,猫動画,1211,656.7151,0:32:32,0,
YT_SEARCH.bird videos cats,,bird videos cats,1199,1001.3555,0:50:06,0,
YT_SEARCH.cat tv for cats to watch relaxing,,cat tv for cats to watch relaxing,1197,1848.2482,1:32:38,0,
YT_SEARCH.squirrel cat video,,squirrel cat video,1178,757.0308,0:38:33,0,
YT_SEARCH.cat tv birds no ads,,cat tv birds no ads,1178,2267.0915,1:55:28,0,
YT_SEARCH.猫 動画,,猫 動画,1161,473.4804,0:24:28,0,
YT_SEARCH.貓咪影片,,貓咪影片,1156,497.4753,0:25:49,0,
YT_SEARCH.고양이tv,,고양이tv,1154,1137.2725,0:59:07,0,
YT_SEARCH.cat tv videos,,cat tv videos,1147,2170.4285,1:53:32,0,
YT_SEARCH.고양이 동영상,,고양이 동영상,1135,1266.0097,1:06:55,0,
YT_SEARCH.貓咪,,貓咪,1130,252.9772,0:13:25,0,
YT_SEARCH.猫の喜ぶ動画,,猫の喜ぶ動画,1128,630.3326,0:33:31,0,
YT_SEARCH.birds cats,,birds cats,1126,714.9719,0:38:05,0,
YT_SEARCH.cats game,,cats game,1116,869.1626,0:46:43,0,
YT_SEARCH.videos for cats birds,,videos for cats birds,1116,1033.2289,0:55:32,0,
YT_SEARCH.野鳥,,野鳥,1111,462.5946,0:24:58,0,
YT_SEARCH.videos for kittens to watch,,videos for kittens to watch,1109,1047.453,0:56:40,0,
YT_SEARCH.새소리,,새소리,1103,598.358,0:32:32,0,
YT_SEARCH.猫のテレビ,,猫のテレビ,1098,594.1056,0:32:27,0,
YT_SEARCH.cat movie,,cat movie,1096,791.2612,0:43:19,0,
YT_SEARCH.tv for cats on youtube,,tv for cats on youtube,1090,2634.4793,2:25:01,0,
YT_SEARCH.고양이가좋아하는영상,,고양이가좋아하는영상,1087,979.5459,0:54:04,0,
YT_SEARCH.cat watch,,cat watch,1074,343.6165,0:19:11,0,
YT_SEARCH.nature for cats,,nature for cats,1056,1878.2798,1:46:43,0,
YT_SEARCH.birds live,,birds live,1054,1112.881,1:03:21,0,
YT_SEARCH.고양이들이 좋아하는 영상,,고양이들이 좋아하는 영상,1053,1206.5297,1:08:44,0,
