Traffic source,Source type,Source title,Views,Watch time (hours),Average view duration,Impressions,Impressions click-through rate (%)
YT_SEARCH.dog tv live,,dog tv live,2844,9568.5512,3:21:52,0,
YT_SEARCH.tv for dogs no ads,,tv for dogs no ads,2792,9007.2565,3:13:33,0,
YT_SEARCH.dogs playing,,dogs playing,2768,3166.0678,1:08:37,0,
YT_SEARCH.dog tv on youtube,,dog tv on youtube,2700,7439.818,2:45:19,0,
YT_SEARCH.musica para perros,,musica para perros,2620,4330.8113,1:39:10,0,
YT_SEARCH.dog music no ads,,dog music no ads,2606,6575.0772,2:31:22,0,
YT_SEARCH.para perros,,para perros,2593,3108.3019,1:11:55,0,
YT_SEARCH.dog nature sounds,,dog nature sounds,2535,6161.643,2:25:50,0,
YT_SEARCH.music for dogs,,music for dogs,2509,4821.7419,1:55:18,0,
YT_SEARCH.sounds for dogs,,sounds for dogs,2453,4416.56,1:48:01,0,
YT_SEARCH.calming videos for dogs,,calming videos for dogs,2410,4638.4467,1:55:28,0,
YT_SEARCH.dogs walking,,dogs walking,2356,1808.7427,0:46:03,0,
YT_SEARCH.tv dog,,tv dog,2259,3869.9799,1:42:47,0,
YT_SEARCH.dog entertainment video,,dog entertainment video,2249,4936.4116,2:11:41,0,
YT_SEARCH.hunde tv,,hunde tv,2226,2321.6626,1:02:34,0,
YT_SEARCH.relaxing videos for dogs,,relaxing videos for dogs,2214,3944.5843,1:46:53,0,
YT_SEARCH.relaxing dog tv,,relaxing dog tv,2179,4140.6352,1:54:00,0,
YT_SEARCH.tv perros,,tv perros,2134,2786.5494,1:18:20,0,
YT_SEARCH.tv dogs,,tv dogs,2090,4112.2432,1:58:03,0,
YT_SEARCH.videos for dogs to watch,,videos for dogs to watch,2065,2356.9565,1:08:28,0,
YT_SEARCH.dog channel,,dog channel,1976,3942.4657,1:59:42,0,
YT_SEARCH.videos para perritos,,videos para perritos,1956,2520.1651,1:17:18,0,
YT_SEARCH.dog tv walking,,dog tv walking,1945,4307.9946,2:12:53,0,
YT_SEARCH.relaxing dog videos,,relaxing dog videos,1931,4012.5456,2:04:40,0,
YT_SEARCH.no ads dog tv,,no ads dog tv,1913,5782.8991,3:01:22,0,
YT_SEARCH.dog ambience,,dog ambience,1911,3864.9249,2:01:20,0,
YT_SEARCH.dog tv 4k,,dog tv 4k,1903,3377.4335,1:46:29,0,
YT_SEARCH.dibujos para perros,,dibujos para perros,1902,1157.1908,0:36:30,0,
YT_SEARCH.dog tv youtube,,dog tv youtube,1899,5646.2052,2:58:23,0,
YT_SEARCH.canal para perros,,canal para perros,1889,1721.7465,0:54:41,0,
YT_SEARCH.tv para cachorro,,tv para cachorro,1856,2353.2802,1:16:04,0,
YT_SEARCH.dog television,,dog television,1804,3838.112,2:07:39,0,
YT_SEARCH.perros,,perros,1791,2008.5613,1:07:17,0,
YT_SEARCH.ad free dog music,,ad free dog music,1787,3690.4825,2:03:54,0,
YT_SEARCH.для собак видео,,для собак видео,1706,1540.6674,0:54:11,0,
YT_SEARCH.virtual walk,,virtual walk,1696,1984.5777,1:10:12,0,
YT_SEARCH.calming dog videos,,calming dog videos,1688,2924.3293,1:43:56,0,
YT_SEARCH.狗狗電視,,狗狗電視,1656,726.2211,0:26:18,0,
YT_SEARCH.doggy tv,,doggy tv,1622,2989.6366,1:50:35,0,
YT_SEARCH.relaxing tv for dogs,,relaxing tv for dogs,1615,3009.4775,1:51:48,0,
YT_SEARCH.dog walking video,,dog walking video,1587,2845.5504,1:47:34,0,
YT_SEARCH.pet tv,,pet tv,1533,3230.0861,2:06:25,0,
YT_SEARCH.dog tv nature,,dog tv nature,1518,3352.6436,2:12:30,0,
YT_SEARCH.dog relaxation music,,dog relaxation music,1512,3567.0922,2:21:33,0,
YT_SEARCH.programa para perros,,programa para perros,1487,1325.391,0:53:28,0,
YT_SEARCH.dog entertainment,,dog entertainment,1471,3066.8405,2:05:05,0,
YT_SEARCH.calming music for dogs,,calming music for dogs,1447,2831.7691,1:57:25,0,
YT_SEARCH.calming dog tv,,calming dog tv,1440,2660.8673,1:50:52,0,
YT_SEARCH.nature sounds,,nature sounds,1407,2680.452,1:54:18,0,
YT_SEARCH.dog sounds,,dog sounds,1365,1527.7224,1:07:09,0,
YT_SEARCH.videos for dogs to watch to relax,,videos for dogs to watch to relax,1339,1642.1611,1:13:35,0,
YT_SEARCH.dogtv no ads,,dogtv no ads,1306,4349.3797,3:19:49,0,
YT_SEARCH.live dog tv,,live dog tv,1305,4309.2606,3:18:07,0,
YT_SEARCH.dog stimulation tv,,dog stimulation tv,1261,2123.7197,1:41:02,0,
YT_SEARCH.dog relaxation,,dog relaxation,1260,2291.8553,1:49:08,0,
YT_SEARCH.virtual dog walk with music,,virtual dog walk with music,1250,2875.8806,2:18:02,0,
YT_SEARCH.dog calming videos,,dog calming videos,1248,2104.7484,1:41:11,0,
YT_SEARCH.dog tv for dogs to watch anxiety,,dog tv for dogs to watch anxiety,1245,2023.5465,1:37:31,0,
YT_SEARCH.shows for dogs to watch,,shows for dogs to watch,1195,1638.6441,1:22:16,0,
YT_SEARCH.videos para perros entretenimiento,,videos para perros entretenimiento,1191,948.5084,0:47:47,0,
YT_SEARCH.dog walking videos,,dog walking videos,1171,2657.3592,2:16:09,0,
YT_SEARCH.dog sound,,dog sound,1101,1463.9683,1:19:51,0,
YT_SEARCH.dogs tv,,dogs tv,1094,1532.8722,1:24:04,0,
YT_SEARCH.vídeos para perros,,vídeos para perros,1079,858.1821,0:47:43,0,
YT_SEARCH.video pour chien,,video pour chien,1062,1174.4853,1:06:21,0,
YT_SEARCH.youtube for dogs,,youtube for dogs,1062,2001.2802,1:53:04,0,
YT_SEARCH.dog tv relaxation,,dog tv relaxation,1046,1812.9102,1:43:59,0,
YT_SEARCH.dog sensory videos,,dog sensory videos,1034,1443.6287,1:23:46,0,
YT_SEARCH.entretenimiento para perros,,entretenimiento para perros,1016,1284.3554,1:15:50,0,
YT_SEARCH.dog tv no commercials,,dog tv no commercials,1006,3325.8964,3:18:21,0,
YT_SEARCH.dog walks,,dog walks,997,1761.1827,1:45:59,0,
YT_SEARCH.shows for dogs,,shows for dogs,986,1620.785,1:38:37,0,
YT_SEARCH.perros tv,,perros tv,986,1580.6461,1:36:11,0,
YT_SEARCH.dog tv for dogs to watch barking,,dog tv for dogs to watch barking,984,1154.0982,1:10:22,0,
YT_SEARCH.no ads dog music,,no ads dog music,961,2587.736,2:41:33,0,
YT_SEARCH.dog barking,,dog barking,958,840.078,0:52:36,0,
YT_SEARCH.dog tv false ads,,dog tv false ads,958,2614.5066,2:43:44,0,
YT_SEARCH.ambience for dogs,,ambience for dogs,955,1581.6488,1:39:22,0,
